Well,OD,Time_h,Type,Concentration,Sample,Antibiotic,Lineage,Experiment,Plate,blank_mean,OD_blanked,sample_group,replicate
G7,0.166,16,sample,1,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07566666666666667,M-lines,2
G8,0.169,16,sample,2,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07866666666666668,M-lines,2
G9,0.166,16,sample,4,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07566666666666667,M-lines,2
G10,0.154,16,sample,8,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.06366666666666666,M-lines,2
G11,0.095,16,sample,16,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.004666666666666666,M-lines,2
G12,0.091,16,sample,32,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,2
H1,0.449,16,sample,0.002,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.3586666666666667,M-lines,3
H2,0.503,16,sample,0.006,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.4126666666666667,M-lines,3
H3,0.607,16,sample,0.016,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.5166666666666666,M-lines,3
H4,0.627,16,sample,0.047,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.5366666666666666,M-lines,3
H5,0.231,16,sample,0.125,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.14066666666666666,M-lines,3
H6,0.09,16,sample,0.38,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,3
H7,0.105,16,sample,1,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.014666666666666661,M-lines,3
H8,0.121,16,sample,2,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.03066666666666666,M-lines,3
H9,0.112,16,sample,4,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.021666666666666667,M-lines,3
